work	abi	이름	Lv	갈래	핸들러	호출VA	생성자	종류	Obs	모션	자리	x	y	z	붙일곳	단계	지연	수명	그림	영상	영상인자
7	6	폭	1	핸들러	0x10083580	0x10083f03	0x100c1fa0	sound	380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f341	0x100ca7f0	code	-	-	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f42b	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f48f	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f4f2	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f555	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f5b8	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f61a	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f67d	0x100c61c0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	-	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f70f	0x100c1fa0	sound	379	1	self	0	0	0	나	0	0	-	-	-	-
8	5	혼	1	핸들러	0x1007f220	0x1007f7bf	0x100c1fa0	sound	379	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
9	4	살	1	핸들러	0x1008f9d0	0x1008faa1	0x100c1fa0	obs	305	0	target	나.대상.x	나.대상.y	나.대상.z	맵	0	0	-	305:0	-	-
10	3	비	1	핸들러	0x1007fed0	0x1007ff7e	0x100c1fa0	sound	379	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
10	3	비	1	핸들러	0x1007fed0	0x1008001e	0x100c3340	obs	43	0	self	나.x	나.y	나.z+70	맵	1	0	-	43:0	-	-
11	2	파	1	핸들러	0x10082990	0x10082a74	0x100c1fa0	sound	379	2	self	나.x	나.y	나.z	맵	-	0	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082afe	0x100c3340	body:self	나.애니+0x8+0x0	34	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082bbf	0x100c3340	body:self	나.애니+0x8+0x0	37	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082c8d	0x100c3340	body:self	나.애니+0x8+0x0	37	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082d55	0x100c3340	body:self	나.애니+0x8+0x0	34	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082e11	0x100c3340	body:self	나.애니+0x8+0x0	37	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082ed0	0x100c3340	body:self	나.애니+0x8+0x0	37	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10082f8f	0x100c3340	body:self	나.애니+0x8+0x0	35	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x1008304a	0x100c3340	body:self	나.애니+0x8+0x0	33	self	나.x	나.y	나.z	맵	-	0	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x1008315e	0x100c61c0	body:self	나.애니+0x8+0x0	36	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x100831cd	0x100c61c0	body:self	나.애니+0x8+0x0	36	self	나.x	나.y	나.z	맵	-	-	-	-	-	-
11	2	파	1	핸들러	0x10082990	0x10083236	0x100c61c0	body:self	나.애니+0x8+0x0	36	self	나.x	나.y	나.z	맵	-	-	bp	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007f958	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	0	6	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007f9ee	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y+2	나.z	맵	0	0	9	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fa85	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y+3	나.z	맵	0	0	12	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fb9a	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	0	6	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fc34	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y+2	나.z	맵	0	0	9	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fccf	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y+3	나.z	맵	0	-	-	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fd4e	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	맵	0	0	6	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fde8	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y+2	나.z	맵	0	0	9	-	-	-
12	1	연	1	핸들러	0x1007f860	0x1007fe83	0x100c1fa0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y+3	나.z	맵	0	-	-	-	-	-
14	16	프레셔	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
14	16	프레셔	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
14	16	프레셔	1	핸들러	0x1009f7a0	0x1009f810	0x100c1fa0	obs	1318	0	target	0	0	0	나.대상	0	0	-	1318:0	-	-
15	15	리미트플로우	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
15	15	리미트플로우	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
15	15	리미트플로우	1	핸들러	0x10081db0	0x10081e4e	0x100cd270	obs	6	0	target	나.대상.x	나.대상.y	나.대상.z+170	맵	0	-	&0+0x0	6:0	-	-
15	15	리미트플로우	1	핸들러	0x10081db0	0x10081f0f	0x100c1fa0	sound	312	3	target	나.대상.x	나.대상.y	나.대상.z	맵	0	0	-	-	-	-
16	13	희생	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
16	13	희생	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
16	13	희생	1	핸들러	0x10090720	0x100907b3	0x100c1fa0	sound	1395	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
16	13	희생	1	핸들러	0x10090720	0x10090888	0x100c3340	obs	1294	1	cell	&esp+0x20+0x0+0x0	&esp+0x20+0x0+0x2	나.z	맵	0	-	나.y+?+10	1294:1	-	-
16	13	희생	1	핸들러	0x10090720	0x100909ac	0x100d0430	code	-	-	self	나.x	나.y	나.z	맵	0	-	40	-	-	-
16	13	희생	1	핸들러	0x10090720	0x10090a89	0x100c1fa0	obs	295	0	cell	&0.y+0x0.x	&0.y+0x0.y	&0.y+0x0.z	맵	0	0	-	295:0	-	-
16	13	희생	1	핸들러	0x10090720	0x10090af3	0x100c1fa0	obs	295	1	cell	&0.y+0x0.x	&0.y+0x0.y	&0.y+0x0.z	맵	0	140	20	295:1	-	-
16	13	희생	1	핸들러	0x10090720	0x10090b68	0x100c1fa0	obs	295	2	cell	&0.y+0x0.x	&0.y+0x0.y	&0.y+0x0.z	맵	0	0	161	295:2	-	-
16	13	희생	1	핸들러	0x10090720	0x10090c10	0x100c5b20	obs	1294	1	cell	&0.y+0x0.z	&0.y+0x0.y	&0.y+0x0.z	맵	0	-	&0.y+0x0.z	1294:1	-	-
16	13	희생	1	핸들러	0x10090720	0x10090cee	0x100c1fa0	sound	1395	1	self	나.x	나.y	나.z	맵	0	0	30	-	-	-
17	12	포스 필드	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
17	12	포스 필드	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
17	12	포스 필드	1	핸들러	0x10095ba0	0x10095c4d	0x100c1fa0	sound	1324	1	target	나.대상.x	나.대상.y	나.대상.z	맵	0	0	-	-	-	-
17	12	포스 필드	1	핸들러	0x10095ba0	0x10095ce4	0x100c5b20	obs	476	3	target	나.대상+?-10+?-20	나.대상+?-10	나.대상.z	맵	0	-	나.대상+?-10+?-20+25	476:3	-	-
17	12	포스 필드	1	핸들러	0x10095ba0	0x10095de0	0x100c1fa0	obs	444	6	target	나.대상.x	나.대상.y	나.대상.z+60	맵	0	0	-	444:6 444:2 443:0	-	-
17	12	포스 필드	1	핸들러	0x10095ba0	0x10095e8a	0x100c1fa0	sound	1324	0	target	나.대상.x	나.대상.y	나.대상.z	맵	0	0	-	-	-	-
17	12	포스 필드	1	핸들러	0x10095ba0	0x10095eef	0x100c6a10	body:target	나.대상.애니+0x8+0x0	나.대상.애니+0xe	target	나.대상.x	나.대상.y	나.대상.z	ds:0x101be2d8	0	-	-	-	-	-
18	11	큐어	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
18	11	큐어	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
18	11	큐어	1	핸들러	0x10081830	0x100818c1	0x100c1fa0	obs	297	0	target	나.대상.x	나.대상.y	나.대상.z+70	맵	0	0	-	297:0	-	-
18	11	큐어	1	핸들러	0x10081830	0x1008191e	0x100c1fa0	obs	297	1	target	나.대상.x	나.대상.y	나.대상.z+70	맵	0	160	20	297:1	-	-
18	11	큐어	1	핸들러	0x10081830	0x1008198b	0x100c1fa0	obs	297	2	target	나.대상.x	나.대상.y	나.대상.z+70	맵	0	0	181	297:2	-	-
18	11	큐어	1	핸들러	0x10081830	0x10081a40	0x100cbd20	emit	480	2	target	나.대상.x	나.대상.y	나.대상.z+105	맵	0	-	-	480:2	-	-
18	11	큐어	1	핸들러	0x10081830	0x10081aea	0x100c1fa0	sound	312	1	target	나.대상.x	나.대상.y	나.대상.z	맵	0	0	-	-	-	-
19	9	힐	1	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
19	9	힐	1	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
19	9	힐	1	핸들러	0x10081410	0x100814a7	0x100c1fa0	obs	297	0	target	나.대상.x	나.대상.y	나.대상.z+70	맵	0	0	-	297:0	-	-
19	9	힐	1	핸들러	0x10081410	0x10081504	0x100c1fa0	obs	297	1	target	나.대상.x	나.대상.y	나.대상.z+70	맵	0	120	20	297:1	-	-
19	9	힐	1	핸들러	0x10081410	0x1008156e	0x100c1fa0	obs	297	2	target	나.대상.x	나.대상.y	나.대상.z+70	맵	0	0	141	297:2	-	-
19	9	힐	1	핸들러	0x10081410	0x1008161f	0x100cb8a0	emit	478	2	target	나.대상.x	나.대상.y	나.대상.z	맵	0	96	-	478:2	-	-
19	9	힐	1	핸들러	0x10081410	0x100816c3	0x100cb8a0	emit	478	2	target	나.대상.x	나.대상.y	나.대상.z	맵	0	96	-	478:2	-	-
19	9	힐	1	핸들러	0x10081410	0x10081776	0x100c1fa0	sound	312	0	target	나.대상.x	나.대상.y	나.대상.z	맵	0	0	-	-	-	-
21	8	오버 드라이브	20	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
21	8	오버 드라이브	20	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
21	8	오버 드라이브	20	핸들러	0x10081fd0	0x10082521	0x100c64b0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	ds:0x101be2d8	0	10	10	-	-	-
22	8	오버 드라이브	19	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
22	8	오버 드라이브	19	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
22	8	오버 드라이브	19	핸들러	0x10081fd0	0x10082521	0x100c64b0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	ds:0x101be2d8	0	10	10	-	-	-
23	8	오버 드라이브	18	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
23	8	오버 드라이브	18	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
23	8	오버 드라이브	18	핸들러	0x10081fd0	0x10082521	0x100c64b0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	ds:0x101be2d8	0	10	10	-	-	-
24	8	오버 드라이브	17	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
24	8	오버 드라이브	17	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
24	8	오버 드라이브	17	핸들러	0x10081fd0	0x10082521	0x100c64b0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	ds:0x101be2d8	0	10	10	-	-	-
25	8	오버 드라이브	16	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
25	8	오버 드라이브	16	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
25	8	오버 드라이브	16	핸들러	0x10081fd0	0x10082521	0x100c64b0	body:self	나.애니+0x8+0x0	나.애니+0xe	self	나.x	나.y	나.z	ds:0x101be2d8	0	10	10	-	-	-
26	8	오버 드라이브	15	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
26	8	오버 드라이브	15	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x10082055	0x100c1fa0	sound	1329	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x100820ad	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x10082141	0x100cc200	emit	8	3	self	나.x	나.y	나.z	맵	0	-	-	8:3	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x100821cb	0x100cc600	emit	8	0	self	나.x	나.y	나.z	맵	0	-	-	8:0	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x10082283	0x100c5c50	obs	8	4	self	나.x	나.y	나.z+100	맵	0	0	-	8:4	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x100823d6	0x100c1fa0	obs?	1329	esp+0x1c-20	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x1008243e	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
26	8	오버 드라이브	15	핸들러	0x10081fd0	0x100824ae	0x100c1fa0	obs	396	4	self	나.x	나.y	나.z+40	맵	0	0	-	396:4	-	-
